Username,Review Text,Likes,Date,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
@Mesra-ex2dz,Cuman gmn aja bikin birahi aneh njirr😹,0,2025-07-15T00:07:41Z,Cuman gmn aja bikin birahi aneh njirr,cuman gmn aja bikin birahi aneh njirr,cuman bagaimana saja bikin birahi aneh anjir,"['cuman', 'bagaimana', 'saja', 'bikin', 'birahi', 'aneh', 'anjir']","['cuman', 'bikin', 'birahi', 'aneh', 'anjir']",cuman bikin birah aneh anjir,Negatif
@anomali_hytam-q2q,Mending versi fanart apa cosplay ny  dari pada versi balok anj😂,0,2025-07-14T12:39:18Z,Mending versi fanart apa cosplay ny  dari pada versi balok anj,mending versi fanart apa cosplay ny  dari pada versi balok anj,mending versi fanart apa cosplay nya dari pada versi balok anjing,"['mending', 'versi', 'fanart', 'apa', 'cosplay', 'nya', 'dari', 'pada', 'versi', 'balok', 'anjing']","['mending', 'versi', 'fanart', 'cosplay', 'nya', 'versi', 'balok', 'anjing']",mending versi fanart cosplay nya versi balok anjing,Negatif
@LiusLius-c6p,Kotak kotak anjirr,0,2025-07-14T11:40:57Z,Kotak kotak anjirr,kotak kotak anjirr,kotak kotak anjir,"['kotak', 'kotak', 'anjir']","['kotak', 'kotak', 'anjir']",kotak kotak anjir,Negatif
@Aushrtz,Bawa Santai Aja Lah Suka Gpp Yakan Kita Gbisa Apa Apa Cuma Cantik Doang Mending Nonton Skibidi BRR 🚽🚽🚽,0,2025-07-14T10:18:36Z,Bawa Santai Aja Lah Suka Gpp Yakan Kita Gbisa Apa Apa Cuma Cantik Doang Mending Nonton Skibidi BRR ,bawa santai aja lah suka gpp yakan kita gbisa apa apa cuma cantik doang mending nonton skibidi brr ,bawa santai saja lah suka yakan kita gbisa apa apa cuma cantik doang mending menonton skibidi brr,"['bawa', 'santai', 'saja', 'lah', 'suka', 'yakan', 'kita', 'gbisa', 'apa', 'apa', 'cuma', 'cantik', 'doang', 'mending', 'menonton', 'skibidi', 'brr']","['bawa', 'santai', 'suka', 'yakan', 'gbisa', 'cantik', 'doang', 'mending', 'menonton', 'skibidi', 'brr']",bawa santai suka yakan gbisa cantik doang mending tonton skibidi brr,Netral
@cisco_Static777,Terakhirnya cokkk☠️💀,0,2025-07-14T07:27:37Z,Terakhirnya cokkk,terakhirnya cokkk,terakhirnya cokkk,"['terakhirnya', 'cokkk']","['terakhirnya', 'cokkk']",akhir cokkk,Netral
@nihayah212,Mending berhenti buka buka aurat Allah tidak akan memberikan siapapun membuka auratnya,0,2025-07-14T03:23:27Z,Mending berhenti buka buka aurat Allah tidak akan memberikan siapapun membuka auratnya,mending berhenti buka buka aurat allah tidak akan memberikan siapapun membuka auratnya,mending berhenti buka buka aurat allah tidak akan memberikan siapapun membuka auratnya,"['mending', 'berhenti', 'buka', 'buka', 'aurat', 'allah', 'tidak', 'akan', 'memberikan', 'siapapun', 'membuka', 'auratnya']","['mending', 'berhenti', 'buka', 'buka', 'aurat', 'allah', 'membuka', 'auratnya']",mending henti buka buka aurat allah buka aurat,Negatif
@DhavinApin,Em masalah nya gw cowok cok najis jadi cewek,0,2025-07-13T20:34:40Z,Em masalah nya gw cowok cok najis jadi cewek,em masalah nya gw cowok cok najis jadi cewek,em masalah ya gue cowok cok najis jadi cewek,"['em', 'masalah', 'ya', 'gue', 'cowok', 'cok', 'najis', 'jadi', 'cewek']","['em', 'ya', 'gue', 'cowok', 'cok', 'najis', 'cewek']",em ya gue cowok cok najis cewek,Netral
@Eugenz-Satria,"Anomaly:oi ayo main Roblox banyak karakter yang bla bla bla bla bla

Gw:bre ayo main Roblox gojira suitborn udah update",0,2025-07-13T16:08:57Z,"Anomalyoi ayo main Roblox banyak karakter yang bla bla bla bla bla

Gwbre ayo main Roblox gojira suitborn udah update","anomalyoi ayo main roblox banyak karakter yang bla bla bla bla bla

gwbre ayo main roblox gojira suitborn udah update",anomalyoi ayo main roblox banyak karakter yang bla bla bla bla bla gwbre ayo main roblox gojira suitborn sudah update,"['anomalyoi', 'ayo', 'main', 'roblox', 'banyak', 'karakter', 'yang', 'bla', 'bla', 'bla', 'bla', 'bla', 'gwbre', 'ayo', 'main', 'roblox', 'gojira', 'suitborn', 'sudah', 'update']","['anomalyoi', 'ayo', 'main', 'roblox', 'karakter', 'bla', 'bla', 'bla', 'bla', 'bla', 'gwbre', 'ayo', 'main', 'roblox', 'gojira', 'suitborn', 'update']",anomalyoi ayo main roblox karakter bla bla bla bla bla gwbre ayo main roblox gojira suitborn update,Positif
@aryanesa-jy6go,Bukti pria punya selera 😂,0,2025-07-13T14:57:19Z,Bukti pria punya selera ,bukti pria punya selera ,bukti pria punya selera,"['bukti', 'pria', 'punya', 'selera']","['bukti', 'pria', 'selera']",bukti pria selera,Netral
@Looked209,Jawaban nya ga normal kalo cuma suka ama characternya aja :/,0,2025-07-13T11:01:34Z,Jawaban nya ga normal kalo cuma suka ama characternya aja ,jawaban nya ga normal kalo cuma suka ama characternya aja ,jawaban ya tidak normal kalau cuma suka sama characternya saja,"['jawaban', 'ya', 'tidak', 'normal', 'kalau', 'cuma', 'suka', 'sama', 'characternya', 'saja']","['ya', 'normal', 'suka', 'characternya']",ya normal suka characternya,Positif
