author,text,likes,published_at,clean_comment
@Mesra-ex2dz,Cuman gmn aja bikin birahi aneh njirr😹,0,2025-07-15T00:07:41Z,cuman gmn aja bikin birahi aneh njirr
@anomali_hytam-q2q,Mending versi fanart apa cosplay ny  dari pada versi balok anj😂,0,2025-07-14T12:39:18Z,mending versi fanart apa cosplay ny dari pada versi balok anj
@LiusLius-c6p,Kotak kotak anjirr,0,2025-07-14T11:40:57Z,kotak kotak anjirr
@Aushrtz,Bawa Santai Aja Lah Suka Gpp Yakan Kita Gbisa Apa Apa Cuma Cantik Doang Mending Nonton Skibidi BRR 🚽🚽🚽,0,2025-07-14T10:18:36Z,bawa santai aja lah suka gpp yakan kita gbisa apa apa cuma cantik doang mending nonton skibidi brr
@cisco_Static777,Terakhirnya cokkk☠️💀,0,2025-07-14T07:27:37Z,terakhirnya cokkk
@nihayah212,Mending berhenti buka buka aurat Allah tidak akan memberikan siapapun membuka auratnya,0,2025-07-14T03:23:27Z,mending berhenti buka buka aurat allah tidak akan memberikan siapapun membuka auratnya
@DhavinApin,Em masalah nya gw cowok cok najis jadi cewek,0,2025-07-13T20:34:40Z,em masalah nya gw cowok cok najis jadi cewek
@Eugenz-Satria,"Anomaly:oi ayo main Roblox banyak karakter yang bla bla bla bla bla

Gw:bre ayo main Roblox gojira suitborn udah update",0,2025-07-13T16:08:57Z,anomaly oi ayo main roblox banyak karakter yang bla bla bla bla bla gw bre ayo main roblox gojira suitborn udah update
@aryanesa-jy6go,Bukti pria punya selera 😂,0,2025-07-13T14:57:19Z,bukti pria punya selera
@Looked209,Jawaban nya ga normal kalo cuma suka ama characternya aja :/,0,2025-07-13T11:01:34Z,jawaban nya ga normal kalo cuma suka ama characternya aja
@Mochi_A291,"Gambar nya sangat ""astagfirullah"" 😤",0,2025-07-13T08:29:46Z,gambar nya sangat astagfirullah
@Aku_Gabut112,si oji birahi ama gerakannya dari yang kulihat,0,2025-07-13T03:25:45Z,si oji birahi ama gerakannya dari yang kulihat
@ParwoBloxx,"@𝓜𝓪𝓻𝓼𝓮𝓵𝓥𝓸𝓷𝓐𝓼𝓽𝓻𝓮𝓪:kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi, termasuk dalam cara berpakaian (Pasal 19 DUHAM – Deklarasi Universal HAM). Emang bisa dilarang di beberapa negara dgn hukum syariah/konservatif. Masalahnya ini tuh game, dia juga ga ada niatan buat mancing para gooners. murni cuman buat lucu2an",0,2025-07-13T01:08:15Z,kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi termasuk dalam cara berpakaian pasal 19 duham deklarasi universal ham emang bisa dilarang di beberapa negara dgn hukum syariah konservatif masalahnya ini tuh game dia juga ga ada niatan buat mancing para gooners murni cuman buat lucu2an
@MucDuongTran,😡😡😡,0,2025-07-13T00:35:35Z,
@Gevio-t9d,HIDUP CANGCUT🤪🤪🤪🤪🤪,0,2025-07-12T16:30:59Z,hidup cangcut
@Scndyn,Kakinya ada sudutnya gitu,0,2025-07-12T15:46:06Z,kakinya ada sudutnya gitu
@joshuasibuea2574,Dari pada lihat keginian mending jadi bajak laut aje,0,2025-07-12T15:44:02Z,dari pada lihat keginian mending jadi bajak laut aje
@EXAl-4,Yang banyak itu grow a garden 😎👊,0,2025-07-12T14:53:10Z,yang banyak itu grow a garden
@KryptoniteCH,Original song?,0,2025-07-12T08:59:01Z,original song
@MuhammadAbiga,"Gw main roblox karena:seru.ngakak
Oji wahyudi main roblox karena:birahi sama kaki gajah🤓",0,2025-07-12T06:50:09Z,gw main roblox karena seru ngakak oji wahyudi main roblox karena birahi sama kaki gajah
@ZaernurMoilo,😘😘😘😘😘😘😘😘😘😍😍😍😍😍,0,2025-07-12T05:34:10Z,
@RusDiana-f6e,Antum birahi ama balok 😂😂😂,0,2025-07-12T04:40:41Z,antum birahi ama balok
@VeemoonXA,Stress 🗿,0,2025-07-12T04:03:33Z,stress
@awfi267,santai aja masse,0,2025-07-11T21:20:35Z,santai aja masse
@Alkia12,antum birahi sama kaki gajah😂😂,1,2025-07-11T17:46:24Z,antum birahi sama kaki gajah
@faishalalfarisi1423,"mana ada
roblox udh rame dari dulu
bahkan akunnya melewati batas populasi manusia saat itu",0,2025-07-11T16:35:27Z,mana ada roblox udh rame dari dulu bahkan akunnya melewati batas populasi manusia saat itu
@iis_-07,Tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di Brookhaven,0,2025-07-11T15:37:41Z,tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di brookhaven
@DiegoAlexander-w1h,Ternyata lebih baik ngewaifuin hoshino,0,2025-07-11T15:35:22Z,ternyata lebih baik ngewaifuin hoshino
@NXXA80,Tidak normal,0,2025-07-11T14:59:48Z,tidak normal
@revengeformyfamily,Avatar anomali,0,2025-07-11T14:44:36Z,avatar anomali
@Arkanamaliq-r8q3t,tolong aku sesat gamau lagi😭,0,2025-07-11T14:31:14Z,tolong aku sesat gamau lagi
@Arkanamaliq-r8q3t,sesat,0,2025-07-11T14:30:51Z,sesat
@ratnaningtyas7141,roblox itu viral karens grow a garden muncul dotv indo,0,2025-07-11T12:46:35Z,roblox itu viral karens grow a garden muncul dotv indo
@Nofal_cihuyy,Wahyu di Wahyu di 🗿,0,2025-07-11T12:45:45Z,wahyu di wahyu di
@yanyanto_yatim,Mendin jadi petani ganj#,0,2025-07-11T10:10:13Z,mendin jadi petani ganj
@givehappyboxer,Birahi sama dua batang persegi,0,2025-07-11T09:52:53Z,birahi sama dua batang persegi
@GemWNeverDie,menyukai mah normal tapi kalo sange mah beda,0,2025-07-11T09:08:08Z,menyukai mah normal tapi kalo sange mah beda
@nuralammawardah5046,Mending gua main Roblox karena Forsaken,0,2025-07-11T08:33:57Z,mending gua main roblox karena forsaken
@daniumasugi5242,Amerika sekarang bisa menunjukan sisi gelap mereka,0,2025-07-11T08:25:46Z,amerika sekarang bisa menunjukan sisi gelap mereka
@jeremiahethaniel4068,AYO WHAT THE,0,2025-07-11T07:47:23Z,ayo what the
@NurelahBela,Antum birahi sama balok💀,0,2025-07-11T03:50:00Z,antum birahi sama balok
@Pamungkas_02,Birahi Ama kotak🗿,0,2025-07-11T02:54:19Z,birahi ama kotak
@itachi-r4y,Dicari Oji wahyudi  jika anda menemukan orang ini langsung telpon ke saya,0,2025-07-11T02:52:45Z,dicari oji wahyudi jika anda menemukan orang ini langsung telpon ke saya
@Nuriel_a10,Anda birahi dengan lego? Sudah tidak tertolongkan 😭,0,2025-07-10T15:30:10Z,anda birahi dengan lego sudah tidak tertolongkan
@SuarTawan-no7im,Aote lah bg roblok  mah biarin aja bahas aote  aja bg lebih seruuu,0,2025-07-10T14:40:37Z,aote lah bg roblok mah biarin aja bahas aote aja bg lebih seruuu
@nununsumiarsa2295,"bro, membanggakan style nya sendiri, padahal terlihat menjijikan + buat apaan kek gitu emang, gara gara ulah manusia yang terobsesi dengan Gooner style, style gituan gak ada gunanya",1,2025-07-10T13:26:25Z,bro membanggakan style nya sendiri padahal terlihat menjijikan buat apaan kek gitu emang gara gara ulah manusia yang terobsesi dengan gooner style style gituan gak ada gunanya
@Jack_473,Cmn orang gila yang sang3 sama karakter roblox 😹,0,2025-07-10T13:13:47Z,cmn orang gila yang sang3 sama karakter roblox
@AdiyatAZAhmadi,Sesat,0,2025-07-10T11:57:41Z,sesat
@RanzGege,"Kalo suka ama pp yg di pake alin sih normal aja, tapi kalo versi roblox dan paha kotak sih...",0,2025-07-10T08:43:16Z,kalo suka ama pp yg di pake alin sih normal aja tapi kalo versi roblox dan paha kotak sih
@rupatin5006,Oji Wahyudi ingin nikah Ama Avatar Roblox 🗿,0,2025-07-10T06:14:39Z,oji wahyudi ingin nikah ama avatar roblox
@biyudoang,Hell nah birahi sama kardus😂,0,2025-07-10T05:07:19Z,hell nah birahi sama kardus
@BambangIrawan-sg1kh,hadeh GOBLOX!!!!!!!!!!!,0,2025-07-10T03:59:07Z,hadeh goblox
@KhairuddinMahendra-dk3ed,Bro belum tau R63😋😋😋,0,2025-07-10T02:46:29Z,bro belum tau r63
@FatihGeming-b2x,"Ko jadi bahas roblox min🗿, harus nya bahas anime🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿",0,2025-07-10T02:41:03Z,ko jadi bahas roblox min harus nya bahas anime
@Xabre_MC,Antum birahi sama balok,0,2025-07-09T23:08:26Z,antum birahi sama balok
@Fanzz_gaming17,"""antum birahi sama avatar roblox?"" 😂",0,2025-07-09T22:24:47Z,antum birahi sama avatar roblox
@Rexxy-M1,Cantik banget gilak🥵,0,2025-07-09T22:17:09Z,cantik banget gilak
@HABIBI_Robloxanimation,"Bang
 Gua sampe minta edit sama Cici dan aku suru BHnya hilang kan dan malah baju sama BHnya ilang sama di kasih yang pakai celana dalam",0,2025-07-09T17:08:37Z,bang gua sampe minta edit sama cici dan aku suru bhnya hilang kan dan malah baju sama bhnya ilang sama di kasih yang pakai celana dalam
@rimbosementara1,"KLO ak ga birahi anjr malah dalam hati gwe bilang 
(Buset cntik bet , andai ada yang kek gini di dunia nyata, lgsung gwe temba)",0,2025-07-09T16:06:03Z,klo ak ga birahi anjr malah dalam hati gwe bilang buset cntik bet andai ada yang kek gini di dunia nyata lgsung gwe temba
@dilongginanda,stres jir,0,2025-07-09T15:31:29Z,stres jir
@Kingoffical-srm,Untung gue main ML hehehe,1,2025-07-09T12:58:52Z,untung gue main ml hehehe
@ErvandyPermana,Kan Wahyudi,0,2025-07-09T12:04:39Z,kan wahyudi
@leo6910-v6p,💀💀bro sudah terangsang,0,2025-07-09T11:37:10Z,bro sudah terangsang
@Aiartistzz,oji wahyudii,0,2025-07-09T11:19:50Z,oji wahyudii
