text,sentiment
suka pp pakai alin sih normal versi roblox paha kotak sih,Netral
art style awa,Netral
birah begitu waras bikin char tuh otak sangean anjir otak ya simpan tytyt,Negatif
roblox seru sus,Netral
suka roblox,Netral
stres jir,Negatif
wahmake orang,Netral
ingetbiasanya ava cewek cantik yabg cewek benar cowojai masang tiktok cowok nyamarkaya teman gue cowok pasang swnya ava cewek cakep avatar roblox dawg,Positif
main roblox avatar lanang ngedrift brookhaven,Netral
original song,Netral
ku normal sih avatar main roblox,Positif
anjir gue,Netral
uzai,Netral
wahyu wahyu,Positif
bahaya minecraft sih ku ytta,Negatif
hhhhh apan tuajir bisaaja,Netral
gooners,Netral
gue main roblox blox fruit,Netral
oji wahyudi,Netral
biar orang dongo kayak alin,Negatif
gua buka ig ketemu mulu anjir,Netral
gws wafat,Positif
memeng main roblox bikin gablok,Netral
ban roblox,Netral
nooo adik bahaya,Negatif
game roblox penghehe avatar njier main,Positif
oji wahyudi ctt,Netral
bocah ngawor,Netral
mending henti buka buka aurat allah buka aurat,Negatif
oji wahyudi oh oji wahyudi,Netral
sesat,Negatif
abang bahas anime jojo blizzard adventure,Positif
nanggung banget mending lihat hentai,Positif
abang gue asli suka sih main cewek game gue sopan cewek gue main pas,Positif
normal jir,Netral
grow a garden,Netral
ah itumah orang gila salah tubuh,Negatif
biar muslim hukum ya hukum sih makruh suka cl itumah gila anjir haram itumah gila cok,Positif
bawa santai suka yakan gbisa cantik doang mending tonton skibidi brr,Netral
hell aneh aneh,Netral
bro rangsang,Negatif
aman bang b wae gue,Netral
ts js pmo fr i miss era fr,Negatif
gue main roblox cuman garagara parkour fast hand,Netral
sesat,Negatif
inti player roblok caboel,Netral
selamat,Positif
normal,Positif
anomalyoi ayo main roblox karakter bla bla bla bla bla gwbre ayo main roblox gojira suitborn update,Positif
birah char roblox gila,Negatif
plis gue sesal deh pakai badan body blush,Negatif
mending stellar blade gue sange jir bentuk postur badan realistis roblok mah jir,Negatif
abang sasha hidup rumbling laku,Netral
kreator hiatus sih oji,Negatif
game roblox ramai grow a garden trend doang,Positif
gara gara grow a garden sih,Negatif
jir birah balok gue mah mabar blood strike nice,Negatif
pikir gue kawaian mchan gue edit senjata,Netral
mending gue garou,Netral
kotak kotak cok,Negatif
joget mending main age of titans,Netral
roblox toleran ana bocil,Netral
mending tonton aot,Negatif
oji wahyudi kebelet avatar roblox wkwkkwk,Netral
malas main roblox game cari pacar caboel,Negatif
ig tuh memenya isi kolom komentar penuh sadar dokstiker spongebob muka heran aneh aneh ya orang suka karakter anime kadang bilang wajar suka karakter kartun parah,Positif
stres,Negatif
freaky jir birah karakter roblox,Negatif
gue player roblox main map horror battlefied terus terkadang tahan nafsu karakter kotak imut unyu ssi,Negatif
ku mikasa ya yerbuka,Positif
pantengin vidio tuh mending gue tonton tutorial nafas,Negatif
wkwkwk gua main sus seru,Netral
antum birah,Negatif
apa ava seksi suka mending main dead rails,Negatif
fomo dasar orang orang sedih ha pasang,Netral
get out,Netral
garagara grow a garden roblox viral abang gua warga grow a garden,Negatif
oji wahyudi savage block minecraft bruh,Negatif
roblox rame grow a garden,Netral
normal kayak cinta kartun,Netral
normal orang bodoh,Positif
tiiikkkk tookkkk,Netral
owalah kak alin,Netral
main batas usia,Negatif
najis cok mending waifu,Negatif
roblox game penuh viralnya,Positif
yoooo haram,Netral
parah parah game minecraft,Negatif
tuh bocil jerumus video fourno andai tau video fourno pas lihat karakter kayak ah bosan,Positif
gua tuju orang nikah anime,Negatif
bikin game roblox tambah kayak,Positif
salah gua khayal nikah waifu gua,Negatif
robux gratis bayar,Positif
normal,Positif
info foto foto ya abang,Positif
hey yoooo chill aut broo,Netral
amerika tunjuk sisi gelap,Negatif
ngapa kapai nyenggol rame,Netral
gua terta rik,Negatif
oji wahyudi,Netral
im bricked,Netral
alamak najis,Negatif
wahyudi,Netral
birah kotak,Negatif
orang bikin char roblox keren bagus sus gue bikin ava jawa anjir,Netral
orang gila,Netral
em ya gue cowok cok najis cewek,Netral
bro its just a pixel,Netral
astaghfirullah gambar,Negatif
tutup pakai warna hijau tuh sus ngetod,Netral
gua mah sih wahyudi salah sih alin mah cuman kreasi,Negatif
birah kotak cepat tobat oi coli,Negatif
oji kayak kena lcd ya,Negatif
gambar ya astagfirullah,Positif
mending ngehayal nikah waifu sange karakter game kotak kotak kayak menkrep,Negatif
gua pwngen ketemu orang ya biar robux,Positif
gue main jailbreak doang belike,Netral
antum birah balok,Negatif
roblox bikin gobloxx,Netral
oji oji,Netral
bawa santai b gua mah main roblox main kayak doang,Negatif
tuhan kurangbanyak cipta perempuan pasang lulah birah karakter game,Positif
sus abang,Netral
sange char kotak,Negatif
sih game peta peta,Positif
bro,Netral
orang gila,Netral
iya bang sih alin otak ya kayak dontoll,Netral
birah avatar alin,Negatif
