author,text,likes,published_at
@Mesra-ex2dz,Cuman gmn aja bikin birahi aneh njirr😹,0,2025-07-15T00:07:41Z
@anomali_hytam-q2q,Mending versi fanart apa cosplay ny  dari pada versi balok anj😂,0,2025-07-14T12:39:18Z
@LiusLius-c6p,Kotak kotak anjirr,0,2025-07-14T11:40:57Z
@Aushrtz,Bawa Santai Aja Lah Suka Gpp Yakan Kita Gbisa Apa Apa Cuma Cantik Doang Mending Nonton Skibidi BRR 🚽🚽🚽,0,2025-07-14T10:18:36Z
@cisco_Static777,Terakhirnya cokkk☠️💀,0,2025-07-14T07:27:37Z
@nihayah212,Mending berhenti buka buka aurat Allah tidak akan memberikan siapapun membuka auratnya,0,2025-07-14T03:23:27Z
@DhavinApin,Em masalah nya gw cowok cok najis jadi cewek,0,2025-07-13T20:34:40Z
@Eugenz-Satria,"Anomaly:oi ayo main Roblox banyak karakter yang bla bla bla bla bla

Gw:bre ayo main Roblox gojira suitborn udah update",0,2025-07-13T16:08:57Z
@aryanesa-jy6go,Bukti pria punya selera 😂,0,2025-07-13T14:57:19Z
@Looked209,Jawaban nya ga normal kalo cuma suka ama characternya aja :/,0,2025-07-13T11:01:34Z
@Mochi_A291,"Gambar nya sangat ""astagfirullah"" 😤",0,2025-07-13T08:29:46Z
@Aku_Gabut112,si oji birahi ama gerakannya dari yang kulihat,0,2025-07-13T03:25:45Z
@ParwoBloxx,"@𝓜𝓪𝓻𝓼𝓮𝓵𝓥𝓸𝓷𝓐𝓼𝓽𝓻𝓮𝓪:kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi, termasuk dalam cara berpakaian (Pasal 19 DUHAM – Deklarasi Universal HAM). Emang bisa dilarang di beberapa negara dgn hukum syariah/konservatif. Masalahnya ini tuh game, dia juga ga ada niatan buat mancing para gooners. murni cuman buat lucu2an",0,2025-07-13T01:08:15Z
@MucDuongTran,😡😡😡,0,2025-07-13T00:35:35Z
@Gevio-t9d,HIDUP CANGCUT🤪🤪🤪🤪🤪,0,2025-07-12T16:30:59Z
@Scndyn,Kakinya ada sudutnya gitu,0,2025-07-12T15:46:06Z
@joshuasibuea2574,Dari pada lihat keginian mending jadi bajak laut aje,0,2025-07-12T15:44:02Z
@EXAl-4,Yang banyak itu grow a garden 😎👊,0,2025-07-12T14:53:10Z
@KryptoniteCH,Original song?,0,2025-07-12T08:59:01Z
@MuhammadAbiga,"Gw main roblox karena:seru.ngakak
Oji wahyudi main roblox karena:birahi sama kaki gajah🤓",0,2025-07-12T06:50:09Z
@ZaernurMoilo,😘😘😘😘😘😘😘😘😘😍😍😍😍😍,0,2025-07-12T05:34:10Z
@RusDiana-f6e,Antum birahi ama balok 😂😂😂,0,2025-07-12T04:40:41Z
@VeemoonXA,Stress 🗿,0,2025-07-12T04:03:33Z
@awfi267,santai aja masse,0,2025-07-11T21:20:35Z
@Alkia12,antum birahi sama kaki gajah😂😂,1,2025-07-11T17:46:24Z
@faishalalfarisi1423,"mana ada
roblox udh rame dari dulu
bahkan akunnya melewati batas populasi manusia saat itu",0,2025-07-11T16:35:27Z
@iis_-07,Tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di Brookhaven,0,2025-07-11T15:37:41Z
@DiegoAlexander-w1h,Ternyata lebih baik ngewaifuin hoshino,0,2025-07-11T15:35:22Z
@NXXA80,Tidak normal,0,2025-07-11T14:59:48Z
@revengeformyfamily,Avatar anomali,0,2025-07-11T14:44:36Z
@Arkanamaliq-r8q3t,tolong aku sesat gamau lagi😭,0,2025-07-11T14:31:14Z
@Arkanamaliq-r8q3t,sesat,0,2025-07-11T14:30:51Z
@ratnaningtyas7141,roblox itu viral karens grow a garden muncul dotv indo,0,2025-07-11T12:46:35Z
@Nofal_cihuyy,Wahyu di Wahyu di 🗿,0,2025-07-11T12:45:45Z
@yanyanto_yatim,Mendin jadi petani ganj#,0,2025-07-11T10:10:13Z
@givehappyboxer,Birahi sama dua batang persegi,0,2025-07-11T09:52:53Z
@GemWNeverDie,menyukai mah normal tapi kalo sange mah beda,0,2025-07-11T09:08:08Z
@nuralammawardah5046,Mending gua main Roblox karena Forsaken,0,2025-07-11T08:33:57Z
@daniumasugi5242,Amerika sekarang bisa menunjukan sisi gelap mereka,0,2025-07-11T08:25:46Z
@jeremiahethaniel4068,AYO WHAT THE,0,2025-07-11T07:47:23Z
@NurelahBela,Antum birahi sama balok💀,0,2025-07-11T03:50:00Z
@Pamungkas_02,Birahi Ama kotak🗿,0,2025-07-11T02:54:19Z
@itachi-r4y,Dicari Oji wahyudi  jika anda menemukan orang ini langsung telpon ke saya,0,2025-07-11T02:52:45Z
@Nuriel_a10,Anda birahi dengan lego? Sudah tidak tertolongkan 😭,0,2025-07-10T15:30:10Z
@SuarTawan-no7im,Aote lah bg roblok  mah biarin aja bahas aote  aja bg lebih seruuu,0,2025-07-10T14:40:37Z
@nununsumiarsa2295,"bro, membanggakan style nya sendiri, padahal terlihat menjijikan + buat apaan kek gitu emang, gara gara ulah manusia yang terobsesi dengan Gooner style, style gituan gak ada gunanya",1,2025-07-10T13:26:25Z
@Jack_473,Cmn orang gila yang sang3 sama karakter roblox 😹,0,2025-07-10T13:13:47Z
@AdiyatAZAhmadi,Sesat,0,2025-07-10T11:57:41Z
@RanzGege,"Kalo suka ama pp yg di pake alin sih normal aja, tapi kalo versi roblox dan paha kotak sih...",0,2025-07-10T08:43:16Z
@rupatin5006,Oji Wahyudi ingin nikah Ama Avatar Roblox 🗿,0,2025-07-10T06:14:39Z
@biyudoang,Hell nah birahi sama kardus😂,0,2025-07-10T05:07:19Z
@BambangIrawan-sg1kh,hadeh GOBLOX!!!!!!!!!!!,0,2025-07-10T03:59:07Z
@KhairuddinMahendra-dk3ed,Bro belum tau R63😋😋😋,0,2025-07-10T02:46:29Z
